256;AdelHClass
257;AdelTypeB
258;Amst491
259;Amst8G
260;BerlMaximum24
261;BerlT24
262;BernMekarski
263;BlacBalloon
264;BostType7
265;BrnoTatraK2
266;BrnoTatraKT85D
267;BudaLorinci
268;CaglSkoda06T
269;Chan200Series
270;ChriRowanPatent
271;ClevInterurbanStandard
272;ClevPeterWitt
273;ClujPESA120Na
274;CuiaCAFUrbos3
275;DaliDL8000
276;DresTatraT4D
277;DresTatraT6A2
278;DubrTram
279;FranPTw
280;GothMB01
281;HaguPCC1200
282;Hels203
283;HongDoubleDeck
284;HousS70
285;IndiCoachParlor
286;IstaAlstomX04
287;KolkTram
288;KrakSN1
289;LisbBrill
290;LodzHerbrand
291;LondCR4000
292;LondJohnGranthams
293;LosAAmeriTram300
294;LvivT5L64
295;LvivTatraKT4
296;MancT68
297;MancWilkinsonPatent
298;ManiTatraRT8D5
299;Manx4
300;MelbABClass
301;MelbAClass
302;MelbBClass
303;MelbD1Class
304;MelbWClass
305;MelbZ1Class
306;Mila1500
307;Mila4700
308;Mila7100
309;MoscKM
310;MoscKTM5
311;MoscMTV82A
312;MoscOerlikon
313;MoscR1
314;Naga1300Series
315;Naga5000Series
316;NantIncentro
317;NantMekarski
318;NantesTFS1
319;NewOLamm
320;OsloSL79
321;OsloSM53
322;OsloTypeS
323;OstrVarioLF
324;PariLammFrancq
325;PariPurrey
326;PavlKTM8
327;PhilKCar
328;PortPSIUnited100
329;PortType2
330;PragSkoda15T
331;PragTatraT2
332;PyonTatraT6B5
333;RichSprague
334;Rott21
335;SanFLRV2
336;SanFS200
337;SanFUSSLRV
338;SappM100
339;SaraTatraT3YU
340;StPeKrauss
341;StPeLM2008
342;StPeLM33
343;StPeLM49
344;StPeLM57
345;StPeLM68
346;StPeMB
347;StrasEurotram
348;StutSDT8
349;SydnBaldwin
350;SydnCClass
351;SydnLPClass
352;SydnRClass
353;SydnVariotram
354;TacoSkoda10T
355;TashKTM19
356;ToroALRV
357;ToroBigWitt
358;ToroCLRV
359;ToroPCA7Class
360;ToroPCCA1Class
361;ToroTLRV
362;Tosa100IIISeries
363;Tosa200IISeries
364;TrieSerie429
365;TuniTW6000
366;VienTw1
367;VienTw2
368;VienTypeB
369;VienTypeL
370;VienULF
371;ZagrTMK2200
372;ZuriBe44
373;ZuriCe44
